0;-10;0;0;-20;-20;10;20;-30;0;-10;0;10;0;0;-20;0;10;10;-20;-50;10;80;110;0;-20;-20;0;40;10;-90;-10;-10;-10;0;0;20;50;30;-90;30;20;-10;0;-90;-50;-260;200;0;10;0;0;-10;0;10;-70;-10;-20;-30;0;-10;-10;0;140;
-10;-20;0;-20;40;0;10;-40;0;0;-10;-10;-50;-10;40;30;-20;-20;-20;-10;-10;10;80;-40;-10;-10;-10;0;-10;-20;-90;-30;0;-10;-10;0;-80;-70;40;-30;-20;0;0;0;-10;-10;0;-110;0;10;30;40;60;80;70;30;0;-20;-20;0;-30;-10;-100;-70;
-40;-20;-20;-20;-30;10;0;30;0;-10;0;10;0;-20;70;-30;30;0;10;-10;-10;-30;-200;0;-10;0;-20;-20;30;-60;0;-40;20;-20;-20;10;110;110;10;-10;0;-10;-10;0;-50;-40;-20;10;-10;-10;-10;-20;-20;0;-30;-50;-10;-20;10;10;-10;-30;10;0;
0;-20;0;-20;-20;-10;-90;0;-20;-10;10;-10;-10;-50;20;-50;-20;0;-30;-10;-20;0;40;-20;10;10;10;-10;0;20;120;10;-10;-10;-30;0;-40;-40;-10;50;-30;-10;-20;0;0;-50;-120;-20;20;10;20;50;110;50;60;-10;20;10;0;-10;0;20;-50;0;
20;-20;-20;-10;70;50;40;-100;10;-30;-20;10;50;0;-40;90;-20;0;0;-30;-80;-70;100;0;-10;0;0;-10;10;-50;-70;60;0;20;0;20;-40;0;10;30;10;-10;10;20;50;70;10;-10;-10;-10;-30;-10;-100;-20;20;-60;20;10;-10;-10;20;20;30;-30;
-50;-30;-40;-40;-30;-70;0;-30;0;-20;0;0;0;100;-80;-60;-20;-10;-10;-10;20;80;40;-30;-40;-40;-30;-20;-60;-50;-100;-70;20;20;10;40;0;0;100;100;-10;-20;-20;-20;-10;-40;-160;-70;10;10;-20;-40;50;40;-40;-10;0;0;-10;-10;-20;-10;-20;30;
-10;0;20;0;-20;-20;80;-60;0;0;0;0;-30;-40;-10;-10;-30;-20;-30;-10;-30;-20;10;-10;20;0;0;-10;-50;-10;0;80;-20;0;0;-20;10;-20;60;20;-30;-10;-10;0;0;-10;90;-140;20;-10;10;0;-20;-20;-160;70;0;-20;-20;-20;-20;40;-20;0;
-30;-10;-10;10;20;30;-70;-10;0;10;10;-50;-60;-10;80;-70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-30;10;-10;0;-30;-30;10;20;-10;20;0;30;-40;-30;-210;-30;30;10;10;0;-20;-30;150;10;0;0;0;-10;10;10;20;-20;-10;-10;-10;10;-80;-40;-130;-140;-10;0;20;0;10;20;60;-30;-10;-10;-30;-20;-40;-10;-240;-30;20;10;10;-10;-30;100;60;-20;
-20;-30;10;10;-20;-10;10;-20;-20;0;0;20;80;10;40;20;-20;0;-30;-50;-30;-60;40;-40;10;0;0;0;-30;40;-100;100;-10;-30;10;10;-40;-40;-130;10;-20;-10;-30;-40;20;-50;-40;-180;20;20;0;10;-20;10;-220;110;-20;-40;-40;-40;-100;-20;80;50;
0;-10;-10;0;-70;20;-60;-70;20;10;10;0;30;80;80;20;-40;-30;-30;-10;-10;-80;-40;-160;-10;-10;10;-20;-20;-30;-30;-40;-20;-20;-20;-40;20;20;30;0;10;-10;-10;-10;40;40;90;70;10;-10;10;20;-90;0;-20;-150;-10;-10;-30;0;10;-10;-50;-30;
40;30;10;0;-30;80;-20;-20;-30;-50;-10;-20;-50;-100;-80;-10;0;-10;0;0;-30;-40;-50;-50;0;10;-10;-20;10;20;120;110;10;10;0;-10;10;10;-120;20;10;20;0;10;-40;-30;-10;120;-20;-10;20;-30;-100;-110;60;-120;-20;-40;-20;-10;0;40;-230;-10;
0;10;20;20;160;50;70;10;0;-10;-10;-50;-10;20;-80;-80;-30;-10;-10;30;-40;-100;20;10;0;20;-10;0;-30;-30;-20;30;0;10;0;0;80;110;50;60;30;0;-10;20;0;0;-170;-50;-10;-10;-10;-20;-40;-30;90;50;0;-10;0;10;-50;-10;-50;-20;
